Ep.Num,Ep.Title,Rating ,User Votes, User Rating
1.1,Pilot,8.2,"1,836",  8.2/10 
1.2,Purple Giraffe,8,"1,253",  8/10 
1.3,The Sweet Taste of Liberty,8,"1,177",  8.0/10 
1.4,Return of the Shirt,8,"1,059",  8.0/10 
1.5,Okay Awesome,8.2,"1,164",  8.2/10 
1.6,The Slutty Pumpkin,8.1,"1,089",  8.1/10 
1.7,Matchmaker,7.7,973,  7.7/10 
1.8,The Duel,8,973,  8.0/10 
1.9,Belly Full of Turkey,8,"1,006",  8.0/10 
1.10,The Pineapple Incident,8.5,"1,512",  8.5/10 
1.11,The Limo,8.1,"1,034",  8.1/10 
1.12,The Wedding,8,959,  8.0/10 
1.13,"Drumroll, Please",8.5,"1,080",  8.5/10 
1.14,"Zip, Zip, Zip",8,904,  8.0/10 
1.15,Game Night,8.5,"1,188",  8.5/10 
1.16,Cupcake,7.8,861,  7.8/10 
1.17,Life Among the Gorillas,7.7,867,  7.7/10 
1.18,Nothing Good Happens After 2 AM,8.3,953,  8.3/10 
1.19,Mary the Paralegal,8.7,"1,080",  8.7/10 
1.20,Best Prom Ever,7.8,869,  7.8/10 
1.21,Milk,8.1,850,  8.1/10 
1.22,Come On,8.6,"1,100",  8.6/10 
2.1,Where Were We?,8.1,879,  8.1/10 
2.2,The Scorpion and the Toad,8.2,845,  8.2/10 
2.3,Brunch,8.4,888,  8.4/10 
2.4,"Ted Mosby, Architect",8.7,"1,041",  8.7/10 
2.5,World's Greatest Couple,8.6,997,  8.6/10 
2.6,Aldrin Justice,8.1,853,  8.1/10 
2.7,Swarley,8.6,"1,258",  8.6/10 
2.8,Atlantic City,7.9,878,  7.9/10 
2.9,Slap Bet,8.6,"1,785",  8.6/10 
2.10,Single Stamina,8.2,871,  8.2/10 
2.11,How Lily Stole Christmas,8.1,862,  8.1/10 
2.12,First Time in New York,8.1,935,  8.1/10 
2.13,Columns,7.9,800,  7.9/10 
2.14,Monday Night Football,8.1,879,  8.1/10 
2.15,Lucky Penny,8.2,862,  8.2/10 
2.16,Stuff,8.4,905,  8.4/10 
2.17,"Arrivederci, Fiero",8.1,934,  8.1/10 
2.18,Moving Day,8.2,828,  8.2/10 
2.19,Bachelor Party,8.3,853,  8.3/10 
2.20,Showdown,8.6,918,  8.6/10 
2.21,Something Borrowed,8.5,878,  8.5/10 
2.22,Something Blue,8.5,878,  8.5/10 
3.1,Wait for It,8.2,"1,003",  8.2/10 
3.2,We're Not from Here,7.7,789,  7.7/10 
3.3,Third Wheel,8.1,847,  8.1/10 
3.4,Little Boys,7.8,805,  7.8/10 
3.5,How I Met Everyone Else,8.6,"1,101",  8.6/10 
3.6,I'm Not That Guy,8.1,785,  8.1/10 
3.7,Dowisetrepla,8,809,  8.0/10 
3.8,Spoiler Alert,8.4,"1,091",  8.4/10 
3.9,Slapsgiving,8.7,"1,089",  8.7/10 
3.10,The Yips,7.8,829,  7.8/10 
3.11,The Platinum Rule,8.4,841,  8.4/10 
3.12,No Tomorrow,8.1,820,  8.1/10 
3.13,Ten Sessions,8.6,"1,074",  8.6/10 
3.14,The Bracket,8.6,857,  8.6/10 
3.15,The Chain of Screaming,7.9,777,  7.9/10 
3.16,Sandcastles in the Sand,8.2,887,  8.2/10 
3.17,The Goat,8.1,785,  8.1/10 
3.18,Rebound Bro,8,797,  8.0/10 
3.19,Everything Must Go,7.8,812,  7.8/10 
3.20,Miracles,8.4,829,  8.4/10 
4.1,Do I Know You?,8.5,"1,029",  8.5/10 
4.2,The Best Burger in New York,8.3,982,  8.3/10 
4.3,I Heart NJ,7.7,780,  7.7/10 
4.4,Intervention,8.6,949,  8.6/10 
4.5,Shelter Island,8.2,822,  8.2/10 
4.6,Happily Ever After,8,760,  8.0/10 
4.7,Not a Father's Day,7.9,748,  7.9/10 
4.8,Woooo!,8.1,860,  8.1/10 
4.9,The Naked Man,8.4,"1,424",  8.4/10 
4.10,The Fight,8.2,813,  8.2/10 
4.11,Little Minnesota,8.1,780,  8.1/10 
4.12,Benefits,8.5,899,  8.5/10 
4.13,Three Days of Snow,8.3,823,  8.3/10 
4.14,The Possimpible,8.3,833,  8.3/10 
4.15,The Stinsons,8.3,864,  8.3/10 
4.16,"Sorry, Bro",7.9,797,  7.9/10 
4.17,The Front Porch,8.3,806,  8.3/10 
4.18,Old King Clancy,7.8,739,  7.8/10 
4.19,Murtaugh,8.5,827,  8.5/10 
4.20,Mosbius Designs,7.7,740,  7.7/10 
4.21,The Three Days Rule,8.4,836,  8.4/10 
4.22,Right Place Right Time,8.2,781,  8.2/10 
4.23,As Fast as She Can,7.7,741,  7.7/10 
4.24,The Leap,8.5,929,  8.5/10 
5.1,Definitions,8.4,985,  8.4/10 
5.2,Double Date,8.1,801,  8.1/10 
5.3,Robin 101,8.2,805,  8.2/10 
5.4,The Sexless Innkeeper,7.8,852,  7.8/10 
5.5,Duel Citizenship,7.7,760,  7.7/10 
5.6,Bagpipes,7.8,708,  7.8/10 
5.7,The Rough Patch,7.8,806,  7.8/10 
5.8,The Playbook,8.5,"1,827",  8.5/10 
5.9,Slapsgiving 2: Revenge of the Slap,7.8,850,  7.8/10 
5.10,The Window,8,785,  8.0/10 
5.11,Last Cigarette Ever,7.7,838,  7.7/10 
5.12,Girls Vs. Suits,8.6,"1,518",  8.6/10 
5.13,Jenkins,8.5,903,  8.5/10 
5.14,Perfect Week,8.6,983,  8.6/10 
5.15,Rabbit or Duck,8,792,  8.0/10 
5.16,Hooked,7.8,775,  7.8/10 
5.17,Of Course,8,915,  8.0/10 
5.18,Say Cheese,8.1,780,  8.1/10 
5.19,Zoo or False,7.6,779,  7.6/10 
5.20,Home Wreckers,7.7,742,  7.7/10 
5.21,Twin Beds,7.6,712,  7.6/10 
5.22,Robots Vs. Wrestlers,8,790,  8.0/10 
5.23,The Wedding Bride,8.1,866,  8.1/10 
5.24,Doppelgangers,8.2,820,  8.2/10 
6.1,Big Days,8.1,"1,010",  8.1/10 
6.2,Cleaning House,7.9,881,  7.9/10 
6.3,Unfinished,7.6,752,  7.6/10 
6.4,Subway Wars,8.2,904,  8.2/10 
6.5,Architect of Destruction,7.8,743,  7.8/10 
6.6,Baby Talk,7.7,748,  7.7/10 
6.7,Canning Randy,7.6,716,  7.6/10 
6.8,Natural History,8,791,  8.0/10 
6.9,Glitter,8.3,"1,028",  8.3/10 
6.10,Blitzgiving,8.6,"1,306",  8.6/10 
6.11,The Mermaid Theory,7.9,804,  7.9/10 
6.12,False Positive,8,768,  8.0/10 
6.13,Bad News,8.4,"1,131",  8.4/10 
6.14,Last Words,8.1,922,  8.1/10 
6.15,Oh Honey,8.6,"1,200",  8.6/10 
6.16,Desperation Day,7.9,764,  7.9/10 
6.17,Garbage Island,7.7,658,  7.7/10 
6.18,A Change of Heart,8.1,809,  8.1/10 
6.19,Legendaddy,8,835,  8/10 
6.20,The Exploding Meatball Sub,7.7,672,  7.7/10 
6.21,Hopeless,7.8,674,  7.8/10 
6.22,The Perfect Cocktail,7.8,691,  7.8/10 
6.23,Landmarks,7.6,638,  7.6/10 
6.24,Challenge Accepted,8.2,905,  8.2/10 
7.1,The Best Man,8.3,"1,538",  8.3/10 
7.2,The Naked Truth,8.1,"1,031",  8.1/10 
7.3,Ducky Tie,8.6,"1,194",  8.6/10 
7.4,The Stinson Missile Crisis,7.9,872,  7.9/10 
7.5,Field Trip,7.5,771,  7.5/10 
7.6,Mystery vs. History,7.6,818,  7.6/10 
7.7,Noretta,7.7,813,  7.7/10 
7.8,The Slutty Pumpkin Returns,7.5,889,  7.5/10 
7.9,Disaster Averted,8.1,910,  8.1/10 
7.10,Tick Tick Tick,8.6,"1,304",  8.6/10 
7.11,The Rebound Girl,7.8,904,  7.8/10 
7.12,Symphony of Illumination,8.4,"1,276",  8.4/10 
7.13,Tailgate,7.4,865,  7.4/10 
7.14,46 Minutes,7.5,951,  7.5/10 
7.15,The Burning Beekeeper,6.9,944,  6.9/10 
7.16,The Drunk Train,7.9,953,  7.9/10 
7.17,No Pressure,8.2,920,  8.2/10 
7.18,Karma,7.8,777,  7.8/10 
7.19,The Broath,8.4,"1,074",  8.4/10 
7.20,Trilogy Time,8.3,905,  8.3/10 
7.21,Now We're Even,7.8,752,  7.8/10 
7.22,Good Crazy,7.6,704,  7.6/10 
7.23,The Magician's Code: Part 1,8.1,"1,011",  8.1/10 
7.24,The Magician's Code: Part 2,8.5,"1,273",  8.5/10 
8.1,Farhampton,8.3,"2,212",  8.3/10 
8.2,The Pre-Nup,7.3,"1,058",  7.3/10 
8.3,Nannies,7.2,882,  7.2/10 
8.4,Who Wants to Be a Godparent,7.4,905,  7.4/10 
8.5,The Autumn of Breakups,7.2,918,  7.2/10 
8.6,Splitsville,7.3,774,  7.3/10 
8.7,The Stamp Tramp,7.2,709,  7.2/10 
8.8,Twelve Horny Women,7.3,745,  7.3/10 
8.9,Lobster Crawl,7.3,727,  7.3/10 
8.10,The Over-Correction,7.7,729,  7.7/10 
8.11,The Final Page: Part One,8.2,"1,098",  8.2/10 
8.12,The Final Page: Part Two,8.5,"1,883",  8.5/10 
8.13,Band or DJ?,7.7,855,  7.7/10 
8.14,Ring Up!,7.9,878,  7.9/10 
8.15,P.S. I Love You,8.1,"1,102",  8.1/10 
8.16,Bad Crazy,7.4,689,  7.4/10 
8.17,The Ashtray,7.6,653,  7.6/10 
8.18,Weekend at Barney's,7.8,776,  7.8/10 
8.19,The Fortress,7.7,642,  7.7/10 
8.20,The Time Travelers,7.8,"1,176",  7.8/10 
8.21,Romeward Bound,7.2,629,  7.2/10 
8.22,The Bro Mitzvah,8.3,943,  8.3/10 
8.23,Something Old,7.3,736,  7.3/10 
8.24,Something New,8.4,"1,363",  8.4/10 
9.1,The Locket,7.8,"1,069",  7.8/10 
9.2,Coming Back,7.9,763,  7.9/10 
9.3,Last Time in New York,7.6,638,  7.6/10 
9.4,The Broken Code,7.3,532,  7.3/10 
9.5,The Poker Game,7.3,467,  7.3/10 
9.6,Knight Vision,7.7,380,  7.7/10 
9.7,No Questions Asked,7,246,  7.0/10

