From,To
prisonrodeo,bshor
prisonrodeo,brendan642
prisonrodeo,treycausey
prisonrodeo,isdotr
bshor,prisonrodeo
treycausey,prisonrodeo
jjgibaja,emilopezcano
drago_carlo,emilopezcano
kobriendublin,emilopezcano
emilopezcano,hadleywickham
emilopezcano,jjgibaja
emilopezcano,_inundata
emilopezcano,revodavid
emilopezcano,robjhyndman
emilopezcano,piboonrungroj
emilopezcano,cjbayesian
emilopezcano,statsinthewild
emilopezcano,drago_carlo
emilopezcano,eddelbuettel
emilopezcano,freakonometrics
emilopezcano,isdotr
emilopezcano,kobriendublin
emilopezcano,statbandit
statbandit,emilopezcano
cjbayesian,emilopezcano
freakonometrics,emilopezcano
statsinthewild,emilopezcano
piboonrungroj,emilopezcano
tomtensfeldt,gswithr
jjgibaja,gswithr
kobriendublin,gswithr
gswithr,hadleywickham
gswithr,jjgibaja
gswithr,piboonrungroj
gswithr,statsinthewild
gswithr,kobriendublin
gswithr,rickwicklin
gswithr,revodavid
gswithr,isdotr
gswithr,statbandit
gswithr,freakonometrics
statbandit,gswithr
genetics_blog,gswithr
rickwicklin,gswithr
cjbayesian,gswithr
freakonometrics,gswithr
statsinthewild,gswithr
piboonrungroj,gswithr
tomtensfeldt,hadleywickham
tomtensfeldt,eddelbuettel
tomtensfeldt,piboonrungroj
tomtensfeldt,cjbayesian
tomtensfeldt,rickwicklin
tomtensfeldt,revodavid
tomtensfeldt,isdotr
tomtensfeldt,kobriendublin
kobriendublin,tomtensfeldt
rickwicklin,tomtensfeldt
cjbayesian,tomtensfeldt
piboonrungroj,tomtensfeldt
berndweiss,cboettig
gdequeiroz,cboettig
cboettig,_inundata
cboettig,eddelbuettel
cboettig,revodavid
cboettig,hadleywickham
cboettig,adamlaiacano
cboettig,brendan642
cboettig,cjbayesian
cboettig,isdotr
cjbayesian,cboettig
_inundata,cboettig
jjgibaja,revodavid
jjgibaja,robjhyndman
jjgibaja,statsinthewild
jjgibaja,piboonrungroj
jjgibaja,freakonometrics
jjgibaja,eddelbuettel
jjgibaja,stat110
jjgibaja,statbandit
jjgibaja,isdotr
jjgibaja,econo_stats
jjgibaja,kobriendublin
jjgibaja,_inundata
kobriendublin,jjgibaja
statbandit,jjgibaja
statsinthewild,jjgibaja
robjhyndman,jjgibaja
berndweiss,gdequeiroz
abmathewks,gdequeiroz
kristin_linn,gdequeiroz
drago_carlo,gdequeiroz
kobriendublin,gdequeiroz
gdequeiroz,revodavid
gdequeiroz,stat110
gdequeiroz,hadleywickham
gdequeiroz,berndweiss
gdequeiroz,piboonrungroj
gdequeiroz,abmathewks
gdequeiroz,robjhyndman
gdequeiroz,amandacox
gdequeiroz,drago_carlo
gdequeiroz,kristin_linn
gdequeiroz,statsinthewild
gdequeiroz,eddelbuettel
gdequeiroz,treycausey
gdequeiroz,_inundata
gdequeiroz,isdotr
gdequeiroz,cjbayesian
gdequeiroz,kobriendublin
statbandit,gdequeiroz
cjbayesian,gdequeiroz
freakonometrics,gdequeiroz
statsinthewild,gdequeiroz
piboonrungroj,gdequeiroz
robjhyndman,gdequeiroz
berndweiss,statsepi
biff_bruise,statsepi
drago_carlo,statsepi
statbandit,statsepi
statsepi,stat110
statsepi,biff_bruise
statsepi,revodavid
statsepi,berndweiss
statsepi,rickwicklin
statsepi,cjbayesian
statsepi,robjhyndman
statsepi,drago_carlo
statsepi,hadleywickham
statsepi,isdotr
rickwicklin,statsepi
cjbayesian,statsepi
freakonometrics,statsepi
statsinthewild,statsepi
robjhyndman,statsepi
stat110,statsepi
abmathewks,biff_bruise
biff_bruise,revodavid
biff_bruise,hadleywickham
biff_bruise,rickwicklin
biff_bruise,statsinthewild
biff_bruise,stat110
biff_bruise,cjbayesian
biff_bruise,abmathewks
biff_bruise,robjhyndman
biff_bruise,amandacox
biff_bruise,piboonrungroj
biff_bruise,freakonometrics
biff_bruise,isdotr
statbandit,biff_bruise
rickwicklin,biff_bruise
cjbayesian,biff_bruise
freakonometrics,biff_bruise
statsinthewild,biff_bruise
stat110,biff_bruise
berndweiss,abmathewks
abmathewks,hadleywickham
abmathewks,genetics_blog
abmathewks,revodavid
abmathewks,eddelbuettel
abmathewks,brendan642
abmathewks,berndweiss
abmathewks,statsinthewild
abmathewks,stat110
abmathewks,rickwicklin
abmathewks,freakonometrics
abmathewks,cjbayesian
abmathewks,isdotr
statbandit,abmathewks
cjbayesian,abmathewks
freakonometrics,abmathewks
statsinthewild,abmathewks
stat110,abmathewks
berndweiss,cjbayesian
drago_carlo,cjbayesian
kobriendublin,cjbayesian
statbandit,cjbayesian
rickwicklin,cjbayesian
cjbayesian,stat110
cjbayesian,statsinthewild
cjbayesian,hadleywickham
cjbayesian,freakonometrics
cjbayesian,genetics_blog
cjbayesian,revodavid
cjbayesian,robjhyndman
cjbayesian,treycausey
cjbayesian,adamlaiacano
cjbayesian,rickwicklin
cjbayesian,_inundata
cjbayesian,statbandit
cjbayesian,econo_stats
cjbayesian,isdotr
cjbayesian,piboonrungroj
cjbayesian,drago_carlo
freakonometrics,cjbayesian
statsinthewild,cjbayesian
piboonrungroj,cjbayesian
_inundata,cjbayesian
stat110,cjbayesian
treycausey,revodavid
treycausey,hadleywickham
treycausey,stat110
treycausey,brendan642
treycausey,statsinthewild
treycausey,isdotr
statsinthewild,treycausey
stat110,treycausey
econo_stats,stat110
econo_stats,robjhyndman
econo_stats,isdotr
econo_stats,freakonometrics
drago_carlo,econo_stats
kobriendublin,econo_stats
statbandit,econo_stats
freakonometrics,econo_stats
robjhyndman,econo_stats
stat110,econo_stats
drago_carlo,robjhyndman
drago_carlo,eddelbuettel
drago_carlo,hadleywickham
drago_carlo,revodavid
drago_carlo,piboonrungroj
drago_carlo,freakonometrics
drago_carlo,rickwicklin
drago_carlo,stat110
drago_carlo,brendan642
drago_carlo,isdotr
drago_carlo,statbandit
statbandit,drago_carlo
rickwicklin,drago_carlo
freakonometrics,drago_carlo
robjhyndman,drago_carlo
stat110,drago_carlo
kobriendublin,statbandit
statbandit,revodavid
statbandit,stat110
statbandit,rickwicklin
statbandit,statsinthewild
statbandit,freakonometrics
statbandit,brendan642
statbandit,kristin_linn
statbandit,robjhyndman
statbandit,genetics_blog
statbandit,isdotr
statbandit,eddelbuettel
statbandit,piboonrungroj
statbandit,adamlaiacano
statbandit,_inundata
statbandit,kobriendublin
statbandit,hadleywickham
rickwicklin,statbandit
freakonometrics,statbandit
statsinthewild,statbandit
stat110,statbandit
kristin_linn,stat110
kobriendublin,stat110
rickwicklin,stat110
freakonometrics,stat110
statsinthewild,stat110
piboonrungroj,stat110
robjhyndman,stat110
stat110,statsinthewild
stat110,rickwicklin
stat110,robjhyndman
stat110,freakonometrics
stat110,kristin_linn
stat110,hadleywickham
stat110,revodavid
stat110,piboonrungroj
stat110,kobriendublin
stat110,isdotr
berndweiss,freakonometrics
kobriendublin,freakonometrics
rickwicklin,freakonometrics
freakonometrics,revodavid
freakonometrics,hadleywickham
freakonometrics,genetics_blog
freakonometrics,piboonrungroj
freakonometrics,statsinthewild
freakonometrics,berndweiss
freakonometrics,robjhyndman
freakonometrics,rickwicklin
freakonometrics,eddelbuettel
freakonometrics,kobriendublin
freakonometrics,_inundata
freakonometrics,isdotr
statsinthewild,freakonometrics
piboonrungroj,freakonometrics
eddelbuettel,freakonometrics
revodavid,freakonometrics
isdotr,eddelbuettel
berndweiss,eddelbuettel
kobriendublin,eddelbuettel
adamlaiacano,eddelbuettel
rickwicklin,eddelbuettel
statsinthewild,eddelbuettel
piboonrungroj,eddelbuettel
_inundata,eddelbuettel
robjhyndman,eddelbuettel
eddelbuettel,brendan642
eddelbuettel,hadleywickham
eddelbuettel,revodavid
eddelbuettel,bshor
eddelbuettel,robjhyndman
eddelbuettel,isdotr
revodavid,eddelbuettel
rickwicklin,statsinthewild
rickwicklin,piboonrungroj
rickwicklin,genetics_blog
rickwicklin,kristin_linn
rickwicklin,isdotr
rickwicklin,revodavid
rickwicklin,robjhyndman
statsinthewild,rickwicklin
piboonrungroj,rickwicklin
robjhyndman,rickwicklin
revodavid,rickwicklin
berndweiss,piboonrungroj
kobriendublin,piboonrungroj
statsinthewild,piboonrungroj
piboonrungroj,revodavid
piboonrungroj,hadleywickham
piboonrungroj,berndweiss
piboonrungroj,robjhyndman
piboonrungroj,statsinthewild
piboonrungroj,isdotr
robjhyndman,piboonrungroj
revodavid,piboonrungroj
kristin_linn,statsinthewild
kobriendublin,statsinthewild
statsinthewild,kristin_linn
statsinthewild,revodavid
statsinthewild,hadleywickham
statsinthewild,robjhyndman
statsinthewild,kobriendublin
statsinthewild,isdotr
statsinthewild,bshor
robjhyndman,statsinthewild
revodavid,statsinthewild
kristin_linn,hadleywickham
kristin_linn,isdotr
revodavid,kristin_linn
kobriendublin,revodavid
kobriendublin,hadleywickham
kobriendublin,_inundata
kobriendublin,isdotr
_inundata,kobriendublin
revodavid,kobriendublin
berndweiss,_inundata
_inundata,hadleywickham
_inundata,amandacox
_inundata,revodavid
_inundata,isdotr
revodavid,_inundata
isdotr,robjhyndman
berndweiss,robjhyndman
robjhyndman,revodavid
robjhyndman,hadleywickham
robjhyndman,berndweiss
robjhyndman,isdotr
revodavid,robjhyndman
isdotr,revodavid
berndweiss,revodavid
bshor,revodavid
genetics_blog,revodavid
adamlaiacano,revodavid
revodavid,hadleywickham
revodavid,brendan642
revodavid,bshor
revodavid,genetics_blog
revodavid,berndweiss
revodavid,adamlaiacano
revodavid,isdotr
hadleywickham,revodavid
berndweiss,brendan642
berndweiss,hadleywickham
berndweiss,genetics_blog
berndweiss,isdotr
hadleywickham,berndweiss
bshor,hadleywickham
bshor,isdotr
hadleywickham,bshor
genetics_blog,hadleywickham
genetics_blog,isdotr
hadleywickham,genetics_blog
adamlaiacano,brendan642
brendan642,hadleywickham
brendan642,amandacox
brendan642,isdotr
hadleywickham,brendan642
isdotr,amandacox
amandacox,hadleywickham
amandacox,isdotr
hadleywickham,amandacox
isdotr,adamlaiacano
adamlaiacano,hadleywickham
adamlaiacano,isdotr
hadleywickham,adamlaiacano
isdotr,hadleywickham
hadleywickham,isdotr
